iter	Passed	Remaining
130	28362	188143
131	28570	187873
132	28781	187621
133	28991	187362
134	29214	187188
135	29417	186889
136	29629	186646
137	29883	186663
138	30098	186435
139	30319	186249
140	30519	185931
141	30744	185763
142	30958	185535
143	31192	185420
144	31414	185235
145	31622	184970
146	31819	184636
147	32047	184491
148	32272	184322
149	32487	184096
150	32720	183974
151	32944	183795
152	33188	183731
153	33385	183402
154	33595	183147
155	33799	182866
156	34029	182716
157	34227	182399
158	34430	182114
159	34657	181951
160	34877	181755
161	35092	181526
162	35316	181351
163	35532	181128
164	35734	180836
165	35946	180599
166	36135	180246
167	36352	180029
168	36553	179740
169	36751	179435
170	36951	179140
171	37161	178891
172	37370	178642
173	37588	178435
174	37829	178337
175	38038	178091
176	38242	177816
177	38457	177596
178	38669	177360
179	38875	177098
180	39087	176864
181	39294	176607
182	39531	176488
183	39746	176265
184	39980	176130
185	40189	175881
186	40450	175862
187	40710	175833
188	40911	175553
189	41109	175254
190	41345	175124
191	41542	174824
192	41756	174598
193	42028	174611
194	42266	174486
195	42487	174286
196	42699	174049
197	42915	173831
198	43115	173544
199	43329	173316
200	43539	173074
201	43759	172872
202	43968	172626
203	44173	172363
204	44404	172202
205	44632	172028
206	44827	171730
207	45047	171526
208	45273	171345
209	45479	171089
210	45686	170839
211	45909	170644
212	46133	170454
213	46342	170213
214	46543	169937
215	46742	169659
216	46967	169474
217	47240	169459
218	47453	169228
219	47690	169085
220	47947	169010
221	48153	168754
222	48362	168508
223	48603	168375
224	48818	168152
225	49042	167958
226	49265	167762
227	49486	167560
228	49687	167287
229	49935	167174
230	50179	167046
231	50368	166737
232	50618	166626
233	50825	166378
234	51055	166201
235	51275	165993
236	51513	165842
237	51756	165706
238	52008	165599
239	52256	165479
240	52455	165202
241	52666	164964
242	52884	164748
243	53113	164565
244	53324	164327
245	53532	164078
246	53737	163823
247	53934	163543
248	54124	163242
249	54331	162993
250	54529	162720
251	54750	162513
252	54993	162372
253	55264	162313
254	55498	162143
255	55718	161930
256	55909	161635
257	56134	161442
258	56325	161146
259	56552	160957
260	56757	160705
261	56962	160452
262	57253	160441
263	57485	160262
264	57695	160024
265	57890	159743
266	58159	159666
267	58360	159401
268	58580	159191
269	58858	159137
270	59075	158916
271	59334	158806
272	59539	158552
273	59728	158257
274	59914	157956
275	60120	157708
276	60366	157562
277	60597	157378
278	60791	157098
279	61001	156861
280	61246	156712
281	61464	156494
282	61692	156301
283	61943	156166
284	62154	155931
285	62355	155670
286	62600	155519
287	62803	155263
288	63057	155134
289	63339	155072
290	63550	154836
291	63787	154662
292	64047	154544
293	64268	154331
294	64541	154242
295	64770	154048
296	64998	153851
297	65197	153585
298	65436	153413
299	65698	153296
300	65934	153116
301	66142	152872
302	66376	152688
303	66585	152446
304	66828	152281
305	67050	152069
306	67298	151915
307	67491	151636
308	67704	151404
309	67940	151222
310	68138	150957
311	68340	150698
312	68592	150551
313	68791	150289
314	69039	150132
315	69226	149844
316	69439	149611
317	69663	149403
318	69933	149294
319	70197	149169
320	70386	148886
321	70586	148626
322	70778	148349
323	70987	148110
324	71189	147855
325	71429	147678
326	71651	147467
327	71931	147370
328	72217	147288
329	72470	147137
330	72739	147017
331	72998	146876
332	73260	146741
333	73532	146625
334	73740	146380
335	73937	146114
336	74182	145943
337	74403	145724
338	74632	145521
339	74869	145334
340	75052	145043
341	75246	144771
342	75463	144546
343	75748	144451
344	75958	144210
345	76163	143962
346	76381	143738
347	76590	143496
348	76790	143240
349	76993	142987
350	77209	142760
351	77405	142495
352	77608	142244
353	77823	142017
354	78066	141838
355	78254	141562
356	78462	141319
357	78673	141084
358	78877	140837
359	79093	140610
360	79321	140406
361	79544	140192
362	79784	140006
363	79995	139772
364	80212	139548
365	80491	139430
366	80714	139215
367	80930	138989
368	81147	138764
369	81372	138553
370	81574	138302
371	81771	138044
372	81959	137771
373	82163	137525
374	82367	137279
375	82608	137094
376	82805	136838
377	83025	136618
378	83256	136417
379	83464	136179
380	83688	135965
381	83886	135710
382	84096	135476
383	84314	135253
384	84563	135081
385	84780	134857
386	85024	134677
387	85223	134425
388	85456	134226
389	85697	134039
390	85953	133875
391	86198	133695
392	86435	133502
393	86684	133327
394	86920	133131
395	87181	132974
396	87437	132807
397	87624	132537
398	87832	132298
399	88078	132117
400	88347	131969
401	88567	131750
402	88775	131511
403	88990	131283
404	89225	131084
405	89444	130862
406	89693	130683
407	89895	130436
408	90113	130213
409	90388	130071
410	90634	129887
411	90877	129699
412	91099	129480
413	91351	129303
414	91583	129099
415	91798	128870
416	91991	128611
417	92196	128368
418	92417	128149
419	92622	127907
420	92853	127700
421	93110	127531
422	93329	127307
423	93555	127093
424	93759	126851
425	93992	126646
426	94199	126408
427	94425	126195
428	94682	126022
429	94918	125821
430	95125	125582
431	95324	125334
432	95541	125108
433	95764	124890
434	96030	124729
435	96259	124519
436	96519	124348
437	96754	124145
438	96988	123941
439	97209	123721
440	97457	123534
441	97731	123380
442	97936	123138
443	98180	122946
444	98424	122754
445	98629	122512
446	98850	122291
447	99079	122080
448	99303	121862
449	99519	121635
450	99754	121430
451	99956	121186
452	100184	120972
453	100387	120729
454	100655	120565
455	100885	120355
456	101154	120189
457	101388	119983
458	101658	119819
459	101913	119637
460	102117	119395
461	102399	119244
462	102659	119067
463	102872	118835
464	103111	118633
465	103308	118383
466	103521	118152
467	103794	117988
468	104044	117799
469	104241	117549
470	104472	117337
471	104736	117163
472	104938	116919
473	105198	116739
474	105426	116524
475	105662	116317
476	105867	116076
477	106060	115823
478	106330	115653
479	106580	115462
480	106775	115210
481	106997	114988
482	107203	114750
483	107418	114520
484	107613	114270
485	107819	114031
486	108061	113830
487	108288	113614
488	108529	113412
489	108721	113159
490	108944	112938
491	109137	112686
492	109370	112476
493	109574	112236
494	109825	112043
495	110050	111825
496	110269	111600
497	110517	111405
498	110720	111164
499	110930	110930
500	111155	110712
501	111419	110531
502	111638	110306
503	111885	110109
504	112145	109925
505	112388	109723
506	112630	109520
507	112855	109301
508	113097	109097
509	113362	108916
510	113605	108714
511	113854	108517
512	114050	108270
513	114280	108054
514	114510	107840
515	114742	107626
516	114977	107416
517	115232	107224
518	115454	107001
519	115677	106779
520	115883	106541
521	116122	106334
522	116327	106095
523	116579	105900
524	116787	105664
525	117021	105452
526	117229	105217
527	117445	104988
528	117645	104746
529	117904	104557
530	118124	104331
531	118410	104165
532	118605	103919
533	118825	103694
534	119019	103446
535	119248	103230
536	119499	103032
537	119722	102810
538	119942	102585
539	120138	102339
540	120395	102146
541	120593	101903
542	120791	101660
543	121025	101448
544	121268	101242
545	121513	101038
546	121724	100806
547	121934	100574
548	122162	100355
549	122364	100116
550	122583	99891
551	122832	99690
552	123038	99454
553	123239	99214
554	123439	98974
555	123677	98764
556	123883	98528
557	124139	98332
558	124381	98126
559	124589	97892
560	124851	97699
561	125088	97489
562	125331	97282
563	125548	97055
564	125786	96844
565	126015	96626
566	126250	96413
567	126454	96176
568	126711	95980
569	126951	95770
570	127176	95549
571	127430	95349
572	127673	95142
573	127933	94947
574	128160	94726
575	128394	94512
576	128623	94293
577	128875	94092
578	129080	93856
579	129355	93670
580	129592	93458
581	129795	93221
582	130032	93008
583	130260	92788
584	130472	92557
585	130686	92328
586	130911	92106
587	131178	91914
588	131417	91701
589	131615	91461
590	131815	91222
591	132026	90991
592	132245	90765
593	132448	90528
594	132747	90357
595	132978	90139
596	133193	89910
597	133417	89688
598	133660	89479
599	133895	89263
600	134136	89052
601	134377	88841
602	134599	88617
603	134807	88383
604	135036	88164
605	135258	87940
606	135500	87729
607	135704	87493
608	135943	87280
609	136184	87069
610	136462	86880
611	136717	86676
612	136989	86484
613	137224	86267
614	137462	86053
615	137722	85853
616	137962	85639
617	138215	85434
618	138491	85242
619	138763	85048
620	139023	84846
621	139261	84631
622	139518	84427
623	139752	84209
624	140015	84009
625	140228	83778
626	140445	83550
627	140670	83326
628	140902	83107
629	141135	82889
630	141358	82664
631	141628	82467
632	141874	82255
633	142067	82013
634	142298	81793
635	142503	81558
636	142705	81321
637	142975	81124
638	143197	80898
639	143412	80669
640	143690	80475
641	143908	80247
642	144123	80018
643	144397	79822
644	144627	79601
645	144852	79377
646	145057	79142
647	145259	78906
648	145494	78687
649	145701	78454
650	145970	78254
651	146193	78029
652	146443	77819
653	146722	77623
654	146938	77394
655	147190	77185
656	147402	76954
657	147606	76719
658	147887	76524
659	148096	76291
660	148332	76073
661	148587	75865
662	148874	75672
663	149122	75459
664	149376	75249
665	149651	75050
666	149849	74812
667	150039	74570
668	150269	74348
669	150515	74134
670	150762	73920
671	150998	73701
672	151255	73492
673	151486	73270
674	151685	73033
675	151915	72811
676	152155	72594
677	152381	72369
678	152625	72154
679	152886	71946
680	153119	71725
681	153359	71507
682	153577	71279
683	153779	71044
684	153990	70812
685	154226	70593
686	154447	70367
687	154664	70138
688	154894	69916
689	155136	69698
690	155345	69466
691	155597	69254
692	155879	69054
693	156132	68842
694	156365	68620
695	156593	68396
696	156831	68177
697	157062	67955
698	157317	67743
699	157547	67520
700	157769	67294
701	157978	67062
702	158206	66838
703	158418	66607
704	158614	66370
705	158827	66140
706	159097	65934
707	159356	65723
708	159555	65487
709	159777	65261
710	160030	65047
711	160256	64822
712	160462	64589
713	160686	64364
714	160887	64130
715	161137	63915
716	161396	63703
717	161600	63470
718	161844	63252
719	162042	63016
720	162284	62797
721	162532	62581
722	162744	62351
723	162951	62119
724	163179	61895
725	163421	61677
726	163631	61446
727	163853	61220
728	164118	61009
729	164357	60789
730	164617	60577
731	164855	60356
732	165079	60131
733	165272	59894
734	165523	59678
735	165751	59454
736	166025	59246
737	166269	59027
738	166468	58793
739	166663	58557
740	166860	58322
741	167064	58089
742	167308	57871
743	167547	57650
744	167747	57416
745	167983	57195
746	168180	56960
747	168429	56743
748	168636	56512
749	168895	56298
750	169178	56092
751	169383	55860
752	169573	55623
753	169802	55399
754	169987	55161
755	170207	54934
756	170393	54697
757	170591	54463
758	170779	54226
759	170966	53989
760	171150	53751
761	171335	53514
762	171519	53276
763	171704	53039
764	171898	52805
765	172120	52579
766	172304	52342
767	172496	52108
768	172693	51875
769	172900	51645
770	173121	51419
771	173323	51188
772	173594	50977
773	173850	50762
774	174106	50547
775	174312	50316
776	174526	50089
777	174745	49863
778	174966	49637
779	175193	49413
780	175379	49178
781	175565	48942
782	175817	48726
783	176004	48491
784	176196	48257
785	176380	48022
786	176586	47792
787	176773	47558
788	176959	47323
789	177174	47097
790	177413	46876
791	177608	46644
792	177843	46423
793	178059	46196
794	178301	45977
795	178538	45756
796	178779	45536
797	179048	45323
798	179245	45091
799	179449	44862
800	179722	44650
801	179986	44435
802	180197	44207
803	180452	43990
804	180668	43764
805	180897	43541
806	181119	43316
807	181329	43088
808	181532	42858
809	181796	42643
810	182048	42425
811	182306	42208
812	182560	41991
813	182805	41771
814	183013	41543
815	183270	41325
816	183525	41107
817	183735	40879
818	183957	40654
819	184185	40431
820	184405	40205
821	184626	39980
822	184903	39766
823	185122	39540
824	185364	39319
825	185596	39096
826	185816	38870
827	186001	38637
828	186208	38409
829	186414	38181
830	186631	37955
831	186889	37737
832	187105	37510
833	187335	37287
834	187536	37058
835	187812	36843
836	188055	36622
837	188270	36395
838	188512	36174
839	188767	35955
840	189030	35738
841	189271	35516
842	189493	35291
843	189702	35063
844	189923	34838
845	190174	34618
846	190383	34390
847	190633	34170
848	190918	33956
849	191149	33732
850	191373	33507
851	191646	33290
852	191904	33071
853	192146	32849
854	192387	32627
855	192653	32409
856	192942	32194
857	193214	31977
858	193427	31749
859	193665	31526
860	193879	31299
861	194135	31079
862	194404	30861
863	194635	30637
864	194850	30410
865	195059	30182
866	195320	29962
867	195540	29736
868	195779	29513
869	196034	29292
870	196293	29072
871	196559	28852
872	196774	28625
873	197049	28407
874	197304	28186
875	197523	27959
876	197748	27734
877	197949	27505
878	198163	27278
879	198410	27056
880	198672	26835
881	198907	26611
882	199155	26388
883	199372	26161
884	199607	25937
885	199844	25713
886	200098	25491
887	200307	25263
888	200547	25040
889	200783	24815
890	201038	24593
891	201289	24371
892	201552	24150
893	201752	23921
894	201977	23695
895	202187	23468
896	202393	23240
897	202641	23017
898	202847	22789
899	203060	22562
900	203318	22340
901	203570	22117
902	203786	21890
903	204051	21669
904	204322	21448
905	204585	21226
906	204842	21003
907	205053	20776
908	205311	20553
909	205524	20326
910	205774	20103
911	206025	19879
912	206244	19653
913	206483	19428
914	206719	19203
915	206995	18982
916	207235	18757
917	207481	18533
918	207706	18307
919	207953	18082
920	208186	17857
921	208421	17632
922	208671	17408
923	208892	17181
924	209139	16957
925	209367	16731
926	209592	16505
927	209828	16279
928	210093	16056
929	210296	15828
930	210501	15601
931	210744	15376
932	210994	15151
933	211203	14924
934	211441	14699
935	211654	14472
936	211912	14248
937	212142	14022
938	212408	13798
939	212644	13573
940	212884	13347
941	213113	13121
942	213332	12894
943	213623	12672
944	213844	12445
945	214053	12218
946	214265	11991
947	214500	11765
948	214757	11541
949	214980	11314
950	215228	11089
951	215435	10862
952	215678	10636
953	215932	10411
954	216126	10183
955	216384	9959
956	216627	9733
957	216860	9507
958	217131	9283
959	217346	9056
960	217590	8830
961	217835	8604
962	218039	8377
963	218234	8149
964	218445	7922
965	218645	7695
966	218882	7469
967	219079	7242
968	219328	7016
969	219587	6791
970	219856	6566
971	220061	6339
972	220303	6113
973	220554	5887
974	220763	5660
975	221023	5435
976	221282	5209
977	221567	4984
978	221827	4758
979	222057	4531
980	222282	4305
981	222505	4078
982	222775	3852
983	222995	3625
984	223234	3399
985	223501	3173
986	223753	2947
987	223968	2720
988	224211	2493
989	224460	2267
990	224712	2040
991	224924	1813
992	225188	1587
993	225384	1360
994	225641	1133
995	225904	907
996	226162	680
997	226413	453
998	226665	226
999	226918	0
